what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811043097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811127373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811141494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367811204948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811207340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811218475
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1367811225203
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1367811232978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811249099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811250538
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1367811252927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811279832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811307917
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811309232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811320610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811320712
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1367811320773
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1367811320794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811337746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811359233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367811361438
opened,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1367811373941
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1367811373970
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1367811387021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811423460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811496129
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367811499623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811518864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811651426
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811651487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811651545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811668382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811668479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811697266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811698938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367811705295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367811711311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811747908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811771268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811805109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811805281
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811813018
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1367811817235
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811824047
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811826541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811843654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811864026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811874512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811887554
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811899513
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811902779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367811910653
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1367811910935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367811914707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367811919980
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1367811926312
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1367811935406
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367811936632
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1367811955711
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367811975625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811999048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367811999141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367812007009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367812008937
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1367812023226
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367812030831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367812036341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367812038473
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367812065927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367812073302
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367812074646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367812076610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367812089828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367812091491
